Predicted Frequency,Stepper Position
6990411,51769
6990480,51790
6990550,51811
6990619,51832
6990689,51853
6990758,51874
6990828,51895
6990901,51917
6990970,51938
6991040,51959
6991109,51980
6991179,52001
6991248,52022
6991318,52043
6991387,52064
6991457,52085
6991526,52106
6991596,52127
6991665,52148
6991735,52169
6991808,52191
6991877,52212
6991947,52233
6992016,52254
6992086,52275
6992155,52296
6992225,52317
6992294,52338
6992364,52359
6992434,52380
6992503,52401
6992573,52422
6992642,52443
6992715,52465
6992785,52486
6992854,52507
6992924,52528
6992993,52549
6993063,52570
6993132,52591
6993202,52612
6993271,52633
6993341,52654
6993410,52675
6993480,52696
6993549,52717
6993622,52739
6993692,52760
6993761,52781
6993831,52802
6993900,52823
6993970,52844
6994040,52865
6994109,52886
6994179,52907
6994248,52928
6994318,52949
6994387,52970
6994457,52991
6994526,53012
6994599,53034
6994669,53055
6994738,53076
6994808,53097
6994877,53118
6994947,53139
6995017,53160
6995086,53181
6995156,53202
6995225,53223
6995295,53244
6995364,53265
6995434,53286
6995507,53308
6995576,53329
6995646,53350
6995715,53371
6995785,53392
6995855,53413
6995924,53434
6995994,53455
6996063,53476
6996133,53497
6996202,53518
6996272,53539
6996341,53560
6996414,53582
6996484,53603
6996553,53624
6996623,53645
6996693,53666
6996762,53687
6996832,53708
6996901,53729
6996971,53750
6997040,53771
6997110,53792
6997180,53813
6997249,53834
6997322,53856
6997392,53877
6997461,53898
6997531,53919
6997600,53940
6997670,53961
6997739,53982
6997809,54003
6997879,54024
6997948,54045
6998018,54066
6998087,54087
6998157,54108
6998230,54130
6998299,54151
6998369,54172
6998439,54193
6998508,54214
6998578,54235
6998647,54256
6998717,54277
6998786,54298
6998856,54319
6998926,54340
6998995,54361
6999065,54382
6999138,54404
6999207,54425
6999277,54446
6999346,54467
6999416,54488
6999486,54509
6999555,54530
6999625,54551
6999694,54572
6999764,54593
6999833,54614
6999903,54635
6999973,54656
7000046,54678
7000115,54699
7000185,54720
7000254,54741
7000324,54762
7000394,54783
7000463,54804
7000533,54825
7000602,54846
7000672,54867
7000741,54888
7000811,54909
7000881,54930
7000954,54952
7001023,54973
7001093,54994
7001162,55015
7001232,55036
7001302,55057
7001371,55078
7001441,55099
7001510,55120
7001580,55141
7001650,55162
7001719,55183
7001789,55204
7001858,55225
7001931,55247
7002001,55268
7002071,55289
7002140,55310
7002210,55331
7002279,55352
7002349,55373
7002419,55394
7002488,55415
7002558,55436
7002627,55457
7002697,55478
7002767,55499
7002840,55521
7002909,55542
7002979,55563
7003048,55584
7003118,55605
7003188,55626
7003257,55647
7003327,55668
7003396,55689
7003466,55710
7003536,55731
7003605,55752
7003675,55773
7003748,55795
7003817,55816
7003887,55837
7003957,55858
7004026,55879
7004096,55900
7004166,55921
7004235,55942
7004305,55963
7004374,55984
7004444,56005
7004514,56026
7004583,56047
7004656,56069
7004726,56090
7004796,56111
7004865,56132
7004935,56153
7005004,56174
7005074,56195
7005144,56216
7005213,56237
7005283,56258
7005353,56279
7005422,56300
7005492,56321
7005565,56343
7005634,56364
7005704,56385
7005774,56406
7005843,56427
7005913,56448
7005983,56469
7006052,56490
7006122,56511
7006191,56532
7006261,56553
7006331,56574
7006400,56595
7006473,56617
7006543,56638
7006613,56659
7006682,56680
7006752,56701
7006822,56722
7006891,56743
7006961,56764
7007030,56785
7007100,56806
7007170,56827
7007239,56848
7007309,56869
7007382,56891
7007452,56912
7007521,56933
7007591,56954
7007661,56975
7007730,56996
7007800,57017
7007870,57038
7007939,57059
7008009,57080
7008079,57101
7008148,57122
7008218,57143
7008291,57165
7008360,57186
7008430,57207
7008500,57228
7008569,57249
7008639,57270
7008709,57291
7008778,57312
7008848,57333
7008918,57354
7008987,57375
7009057,57396
7009127,57417
7009200,57439
7009269,57460
7009339,57481
7009409,57502
7009478,57523
7009548,57544
7009618,57565
7009687,57586
7009757,57607
7009827,57628
7009896,57649
7009966,57670
7010036,57691
7010105,57712
7010178,57734
7010248,57755
7010318,57776
7010387,57797
7010457,57818
7010527,57839
7010596,57860
7010666,57881
7010736,57902
7010805,57923
7010875,57944
7010945,57965
7011014,57986
7011087,58008
7011157,58029
7011227,58050
7011296,58071
7011366,58092
7011436,58113
7011505,58134
7011575,58155
7011645,58176
7011715,58197
7011784,58218
7011854,58239
7011924,58260
7011997,58282
7012066,58303
7012136,58324
7012206,58345
7012275,58366
7012345,58387
7012415,58408
7012484,58429
7012554,58450
7012624,58471
7012693,58492
7012763,58513
7012833,58534
7012906,58556
7012976,58577
7013045,58598
7013115,58619
7013185,58640
7013254,58661
7013324,58682
7013394,58703
7013463,58724
7013533,58745
7013603,58766
7013672,58787
7013742,58808
7013815,58830
7013885,58851
7013955,58872
7014024,58893
7014094,58914
7014164,58935
7014233,58956
7014303,58977
7014373,58998
7014443,59019
7014512,59040
7014582,59061
7014652,59082
7014725,59104
7014794,59125
7014864,59146
7014934,59167
7015004,59188
7015073,59209
7015143,59230
7015213,59251
7015282,59272
7015352,59293
7015422,59314
7015492,59335
7015561,59356
7015634,59378
7015704,59399
7015774,59420
7015843,59441
7015913,59462
7015983,59483
7016053,59504
7016122,59525
7016192,59546
7016262,59567
7016331,59588
7016401,59609
7016471,59630
7016544,59652
7016614,59673
7016683,59694
7016753,59715
7016823,59736
7016893,59757
7016962,59778
7017032,59799
7017102,59820
7017171,59841
7017241,59862
7017311,59883
7017381,59904
7017450,59925
7017523,59947
7017593,59968
7017663,59989
7017733,60010
7017802,60031
7017872,60052
7017942,60073
7018012,60094
7018081,60115
7018151,60136
7018221,60157
7018291,60178
7018360,60199
7018433,60221
7018503,60242
7018573,60263
7018643,60284
7018712,60305
7018782,60326
7018852,60347
7018922,60368
7018991,60389
7019061,60410
7019131,60431
7019200,60452
7019270,60473
7019343,60495
7019413,60516
7019483,60537
7019553,60558
7019622,60579
7019692,60600
7019762,60621
7019832,60642
7019901,60663
7019971,60684
7020041,60705
7020111,60726
7020180,60747
7020253,60769
7020323,60790
7020393,60811
7020463,60832
7020532,60853
7020602,60874
7020672,60895
7020742,60916
7020811,60937
7020881,60958
7020951,60979
7021021,61000
7021091,61021
7021164,61043
7021233,61064
7021303,61085
7021373,61106
7021443,61127
7021512,61148
7021582,61169
7021652,61190
7021722,61211
7021791,61232
7021861,61253
7021931,61274
7022001,61295
7022074,61317
7022144,61338
7022213,61359
7022283,61380
7022353,61401
7022423,61422
7022493,61443
7022562,61464
7022632,61485
7022702,61506
7022772,61527
7022841,61548
7022911,61569
7022984,61591
7023054,61612
7023124,61633
7023194,61654
7023263,61675
7023333,61696
7023403,61717
7023473,61738
7023543,61759
7023612,61780
7023682,61801
7023752,61822
7023822,61843
7023895,61865
7023965,61886
7024034,61907
7024104,61928
7024174,61949
7024244,61970
7024314,61991
7024383,62012
7024453,62033
7024523,62054
7024593,62075
7024663,62096
7024732,62117
7024802,62138
7024875,62160
7024945,62181
7025015,62202
