Stepper Position,Characterisation Frequency
10000,6864038
25000,6908721
40000,6952634
55000,7000792
70000,7052420
85000,7102712
100000,7151588
115000,7203998
130000,7256414
145000,7309538
160000,7359842
175000,7416082
190000,7475078
205000,7540718
220000,7602972
235000,7677812
250000,7754306
265000,7825502
280000,7890340
295000,7956060
310000,8022296
325000,8094116
340000,8169896
355000,8244191
370000,8322112
385000,8402987
400000,8484518
415000,8565248
430000,8646779
445000,8735292
460000,8822408
475000,8915634
490000,9006566
505000,9105725
520000,9210638
535000,9316235
550000,9426446
565000,9543170
580000,9658196
595000,9789102
610000,9911486
625000,10026512
640000,10179508
655000,10309832
670000,10464533
685000,10607315
700000,10748975
715000,10930585
730000,11088956
745000,11258252
760000,11431778
775000,11618692
790000,11809540
805000,12007424
820000,12193547
835000,12376501
850000,12551743
865000,12724481
880000,12898280
895000,13099982
910000,13375859
925000,13529672
940000,13693985
955000,13842812
970000,13993706
985000,14143335
1000000,14298068
1015000,14442136
