Stepper Position,Predicted Frequency
51769,6990411
51790,6990480
51811,6990550
51832,6990619
51853,6990689
51874,6990758
51895,6990828
51917,6990901
51938,6990970
51959,6991040
51980,6991109
52001,6991179
52022,6991248
52043,6991318
52064,6991387
52085,6991457
52106,6991526
52127,6991596
52148,6991665
52169,6991735
52191,6991808
52212,6991877
52233,6991947
52254,6992016
52275,6992086
52296,6992155
52317,6992225
52338,6992294
52359,6992364
52380,6992434
52401,6992503
52422,6992573
52443,6992642
52465,6992715
52486,6992785
52507,6992854
52528,6992924
52549,6992993
52570,6993063
52591,6993132
52612,6993202
52633,6993271
52654,6993341
52675,6993410
52696,6993480
52717,6993549
52739,6993622
52760,6993692
52781,6993761
52802,6993831
52823,6993900
52844,6993970
52865,6994040
52886,6994109
52907,6994179
52928,6994248
52949,6994318
52970,6994387
52991,6994457
53012,6994526
53034,6994599
53055,6994669
53076,6994738
53097,6994808
53118,6994877
53139,6994947
53160,6995017
53181,6995086
53202,6995156
53223,6995225
53244,6995295
53265,6995364
53286,6995434
53308,6995507
53329,6995576
53350,6995646
53371,6995715
53392,6995785
53413,6995855
53434,6995924
53455,6995994
53476,6996063
53497,6996133
53518,6996202
53539,6996272
53560,6996341
53582,6996414
53603,6996484
53624,6996553
53645,6996623
53666,6996693
53687,6996762
53708,6996832
53729,6996901
53750,6996971
53771,6997040
53792,6997110
53813,6997180
53834,6997249
53856,6997322
53877,6997392
53898,6997461
53919,6997531
53940,6997600
53961,6997670
53982,6997739
54003,6997809
54024,6997879
54045,6997948
54066,6998018
54087,6998087
54108,6998157
54130,6998230
54151,6998299
54172,6998369
54193,6998439
54214,6998508
54235,6998578
54256,6998647
54277,6998717
54298,6998786
54319,6998856
54340,6998926
54361,6998995
54382,6999065
54404,6999138
54425,6999207
54446,6999277
54467,6999346
54488,6999416
54509,6999486
54530,6999555
54551,6999625
54572,6999694
54593,6999764
54614,6999833
54635,6999903
54656,6999973
54678,7000046
54699,7000115
54720,7000185
54741,7000254
54762,7000324
54783,7000394
54804,7000463
54825,7000533
54846,7000602
54867,7000672
54888,7000741
54909,7000811
54930,7000881
54952,7000954
54973,7001023
54994,7001093
55015,7001162
55036,7001232
55057,7001302
55078,7001371
55099,7001441
55120,7001510
55141,7001580
55162,7001650
55183,7001719
55204,7001789
55225,7001858
55247,7001931
55268,7002001
55289,7002071
55310,7002140
55331,7002210
55352,7002279
55373,7002349
55394,7002419
55415,7002488
55436,7002558
55457,7002627
55478,7002697
55499,7002767
55521,7002840
55542,7002909
55563,7002979
55584,7003048
55605,7003118
55626,7003188
55647,7003257
55668,7003327
55689,7003396
55710,7003466
55731,7003536
55752,7003605
55773,7003675
55795,7003748
55816,7003817
55837,7003887
55858,7003957
55879,7004026
55900,7004096
55921,7004166
55942,7004235
55963,7004305
55984,7004374
56005,7004444
56026,7004514
56047,7004583
56069,7004656
56090,7004726
56111,7004796
56132,7004865
56153,7004935
56174,7005004
56195,7005074
56216,7005144
56237,7005213
56258,7005283
56279,7005353
56300,7005422
56321,7005492
56343,7005565
56364,7005634
56385,7005704
56406,7005774
56427,7005843
56448,7005913
56469,7005983
56490,7006052
56511,7006122
56532,7006191
56553,7006261
56574,7006331
56595,7006400
56617,7006473
56638,7006543
56659,7006613
56680,7006682
56701,7006752
56722,7006822
56743,7006891
56764,7006961
56785,7007030
56806,7007100
56827,7007170
56848,7007239
56869,7007309
56891,7007382
56912,7007452
56933,7007521
56954,7007591
56975,7007661
56996,7007730
57017,7007800
57038,7007870
57059,7007939
57080,7008009
57101,7008079
57122,7008148
57143,7008218
57165,7008291
57186,7008360
57207,7008430
57228,7008500
57249,7008569
57270,7008639
57291,7008709
57312,7008778
57333,7008848
57354,7008918
57375,7008987
57396,7009057
57417,7009127
57439,7009200
57460,7009269
57481,7009339
57502,7009409
57523,7009478
57544,7009548
57565,7009618
57586,7009687
57607,7009757
57628,7009827
57649,7009896
57670,7009966
57691,7010036
57712,7010105
57734,7010178
57755,7010248
57776,7010318
57797,7010387
57818,7010457
57839,7010527
57860,7010596
57881,7010666
57902,7010736
57923,7010805
57944,7010875
57965,7010945
57986,7011014
58008,7011087
58029,7011157
58050,7011227
58071,7011296
58092,7011366
58113,7011436
58134,7011505
58155,7011575
58176,7011645
58197,7011715
58218,7011784
58239,7011854
58260,7011924
58282,7011997
58303,7012066
58324,7012136
58345,7012206
58366,7012275
58387,7012345
58408,7012415
58429,7012484
58450,7012554
58471,7012624
58492,7012693
58513,7012763
58534,7012833
58556,7012906
58577,7012976
58598,7013045
58619,7013115
58640,7013185
58661,7013254
58682,7013324
58703,7013394
58724,7013463
58745,7013533
58766,7013603
58787,7013672
58808,7013742
58830,7013815
58851,7013885
58872,7013955
58893,7014024
58914,7014094
58935,7014164
58956,7014233
58977,7014303
58998,7014373
59019,7014443
59040,7014512
59061,7014582
59082,7014652
59104,7014725
59125,7014794
59146,7014864
59167,7014934
59188,7015004
59209,7015073
59230,7015143
59251,7015213
59272,7015282
59293,7015352
59314,7015422
59335,7015492
59356,7015561
59378,7015634
59399,7015704
59420,7015774
59441,7015843
59462,7015913
59483,7015983
59504,7016053
59525,7016122
59546,7016192
59567,7016262
59588,7016331
59609,7016401
59630,7016471
59652,7016544
59673,7016614
59694,7016683
59715,7016753
59736,7016823
59757,7016893
59778,7016962
59799,7017032
59820,7017102
59841,7017171
59862,7017241
59883,7017311
59904,7017381
59925,7017450
59947,7017523
59968,7017593
59989,7017663
60010,7017733
60031,7017802
60052,7017872
60073,7017942
60094,7018012
60115,7018081
60136,7018151
60157,7018221
60178,7018291
60199,7018360
60221,7018433
60242,7018503
60263,7018573
60284,7018643
60305,7018712
60326,7018782
60347,7018852
60368,7018922
60389,7018991
60410,7019061
60431,7019131
60452,7019200
60473,7019270
60495,7019343
60516,7019413
60537,7019483
60558,7019553
60579,7019622
60600,7019692
60621,7019762
60642,7019832
60663,7019901
60684,7019971
60705,7020041
60726,7020111
60747,7020180
60769,7020253
60790,7020323
60811,7020393
60832,7020463
60853,7020532
60874,7020602
60895,7020672
60916,7020742
60937,7020811
60958,7020881
60979,7020951
61000,7021021
61021,7021091
61043,7021164
61064,7021233
61085,7021303
61106,7021373
61127,7021443
61148,7021512
61169,7021582
61190,7021652
61211,7021722
61232,7021791
61253,7021861
61274,7021931
61295,7022001
61317,7022074
61338,7022144
61359,7022213
61380,7022283
61401,7022353
61422,7022423
61443,7022493
61464,7022562
61485,7022632
61506,7022702
61527,7022772
61548,7022841
61569,7022911
61591,7022984
61612,7023054
61633,7023124
61654,7023194
61675,7023263
61696,7023333
61717,7023403
61738,7023473
61759,7023543
61780,7023612
61801,7023682
61822,7023752
61843,7023822
61865,7023895
61886,7023965
61907,7024034
61928,7024104
61949,7024174
61970,7024244
61991,7024314
62012,7024383
62033,7024453
62054,7024523
62075,7024593
62096,7024663
62117,7024732
62138,7024802
62160,7024875
62181,7024945
62202,7025015
62223,7025085
62244,7025154
62265,7025224
62286,7025294
62307,7025364
62328,7025434
